ticker,total_usd,average_cost_per_share
ABT,2119,127.18
ADP,1984,304.00
ATO,5122,151.88
AXP,1302,326.00
DG,1974,108.29
DIS,1152,115.80
DLR,2258,160.67
DRI,1056,204.56
DUK,4892,115.85
EMR,2084,132.25
ES,2083,62.65
KO,2646,69.49
MCHP,1914,65.50
MOS,5427,32.69
MSFT,1024,504.50
PANW,1989,182.65
PKG,2109,198.10
RCL,1624,340.00
RSG,911,227.49
SO,2021,90.98
SOLV,1101,70.95
TRGP,1629,166.00
VTR,2087,62.75
WAB,1880,189.00
WMB,6393,57.06
WMT,4658,94.21
ZBRA,2237,310.00
IWM,3561,221.67
JPST,52214,50.53
QQQ,5913,567.75
SPY,1980,638.00
